"id";"Partida_id";"Times";"Tempo";"Rota";"Tipo"
1;1;"Azul";"14:41:00";"Meio";"Torre Externa 1"
2;1;"Azul";"16:04:00";"Superior";"Torre Externa 1"
3;1;"Azul";"16:04:00";"Inferior";"Torre Externa 1"
4;1;"Azul";"17:56:00";"Meio";"Torre Externa 2"
5;1;"Azul";"18:04:00";"Meio";"Torre Externa 3"
6;1;"Azul";"23:42:00";"Meio";"Inibidor"
7;1;"Azul";"23:50:00";"Meio";"Torre do nexus"
8;1;"Azul";"23:53:00";"Meio";"Torre do nexus"
9;1;"Azul";"23:57:00";"Meio";"Nexus"
10;2;"Vermelho";"17:26:00";"Superior";"Torre Externa 1"
11;2;"Vermelho";"17:53:00";"Meio";"Torre Externa 1"
12;2;"Azul";"20:52:00";"Inferior";"Torre Externa 1"
13;2;"Vermelho";"23:06:00";"Meio";"Torre Externa 2"
14;2;"Vermelho";"32:11:00";"Inferior";"Torre Externa 2"
15;2;"Azul";"32:16:00";"Superior";"Torre Externa 1"
16;2;"Vermelho";"38:49:00";"Superior";"Torre Externa 2"
17;2;"Vermelho";"39:31:00";"Meio";"Torre Externa 3"
18;2;"Vermelho";"39:37:00";"Meio";"Inibidor"
19;2;"Vermelho";"40:04:00";"Superior";"Torre Externa 3"
20;2;"Azul";"40:37:00";"Inferior";"Torre Externa 2"
21;2;"Azul";"40:52:00";"Inferior";"Torre Externa 3"
22;2;"Azul";"41:00:00";"Inferior";"Inibidor"
23;2;"Azul";"41:06:00";"Inferior";"Torre do Nexus"
24;2;"Azul";"41:09:00";"Inferior";"Torre do Nexus"
25;2;"Azul";"41:13:00";"Inferior";"Nexus"
