"id";"Partida_id";"Times";"Tempo";"Vítima";"Assasino";"Assistencia_1";"Assistencia_2";"Assistencia_3";"Assistencia_4"
1;1;"Azul";"03:14:00";"Cariok";"Croc";"";"";"";""
2;1;"Azul";"03:41:00";"Wizer";"Croc";"Tinowns";"Robo";"";""
3;1;"Azul";"06:53:00";"Cariok";"Robo";"Croc";"Tinowns";"";""
4;1;"Vermelho";"06:56:00";"Croc";"dyNquedo";"Cariok";"Wizer";"";""
5;1;"Vermelho";"09:19:00";"Robo";"Wizer";"Cariok";"dyNquedo";"Damage";""
6;1;"Azul";"11:55:00";"Cariok";"tinowns";"Croc";"Route";"Ceos";""
7;1;"Azul";"12:07:00";"Wizer";"Robo";"Croc";"tinowns";"Route";"Ceos"
8;1;"Vermelho";"12:08:00";"Route";"Bvoy";"Wizer";"dyNquero";"Damage";""
9;1;"Vermelho";"12:14:00";"Robo";"dyNquedo";"Wizer";"Bvoy";"Damage";""
10;1;"Azul";"12:14:00";"Bvoy";"tinows";"Robo";"Route";"Ceos";""
11;1;"Azul";"12:20:00";"dyNquedo";"tinowns";"Robo";"Ceos";"";""
12;1;"Azul";"14:28:00";"Wizer";"Robo";"";"";"";""
13;1;"Azul";"17:24:00";"Wizer";"Robo";"tinowns";"Route";"Ceos";""
14;1;"Azul";"17:26:00";"Cariok";"Robo";"tinowns";"Route";"Ceos";""
15;1;"Azul";"17:28:00";"dyNquedo";"Robo";"tinowns";"Route";"Ceos";"Croc"
16;1;"Azul";"17:34:00";"Bvoy";"Croc";"Route";"Ceos";"tinowns";""
17;1;"Azul";"17:36:00";"Damage";"Ceos";"Route";"Croc";"tinowns";""
18;1;"Azul";"23:22:00";"Cariok";"tinowns";"Route";"Ceos";"Croc";""
19;1;"Azul";"23:22:00";"Wizer";"tinowns";"Route";"Ceos";"Croc";""
20;1;"Azul";"23:24:00";"Bvoy";"Route";"Tinowns";"Ceos";"Croc";""
21;1;"Azul";"23:26:00";"dyNquedo";"tinowns";"Robo";"Route";"Ceos";"Croc"
22;1;"Azul";"23:27:00";"Damage";"Ceos";"Route";"Croc";"tinowns";""
23;2;"Azul";"03:10:00";"DudsTheBoy";"juliera";"Cavalo";"Piloto";"accez";""
24;2;"Vermelho";"11:15:00";"accez";"Lonely";"Yuri";"SCARY";"";""
25;2;"Vermelho";"14:03:00";"accez";"SCARY";"Lonely";"";"";""
26;2;"Vermelho";"16:35:00";"juliera";"SCARY";"DudsTheBoy";"scuro";"";""
27;2;"Vermelho";"16:52:00";"Cavalo";"SCARY";"DudsTheBoy";"scuro";"";""
28;2;"Azul";"16:55:00";"DudsTheBoy";"Piloto";"Cavalo";"accez";"";""
29;2;"Vermelho";"17:00:00";"accez";"YURI";"SCARY";"scuro";"";""
30;2;"Azul";"18:38:00";"YURI";"accez";"Cavalo";"Piloto";"julieira";"Kiari"
31;2;"Vermelho";"18:41:00";"Cavalo";"Lonely";"DudsTheBoy";"scuro";"SCARY";""
32;2;"Azul";"18:38:00";"YURI";"julieira";"Cavalo";"Piloto";"accez";"Kiari"
33;2;"Vermelho";"18:46:00";"Piloto";"Lonely";"DudsTheBoy";"scuro";"SCARY";""
34;2;"Azul";"18:51:00";"Lonely";"kiari";"Cavalo";"Piloto";"accez";"julieira"
35;2;"Vermelho";"18:51:00";"accez";"DudsTheBoy";"Lonely";"scuro";"SCARY";""
36;2;"Azul";"18:38:00";"YURI";"accez";"Cavalo";"Piloto";"";""
37;2;"Vermelho";"21:12:00";"KIARI";"Lonely";"SCARY";"";"";""
38;2;"Vermelho";"21:39:00";"Cavalo";"DudsTheBoy";"Lonely";"scuro";"SCARY";""
39;2;"Vermelho";"21:47:00";"accez";"DudsTheBoy";"Lonely";"scuro";"SCARY";"YURI"
40;2;"Vermelho";"21:47:00";"Piloto";"YURI";"DudsTheBoy";"Lonely";"scuro";"SCARY"
41;2;"Azul";"22:56:00";"Lonely";"julieira";"kiari";"Cavalo";"";""
42;2;"Azul";"23:32:00";"YURI";"julieira";"";"";"";""
43;2;"Azul";"23:37:00";"DudsTheBoy";"julieira";"Piloto";"Cavalo";"accez";"Kiari"
44;2;"Azul";"23:45:00";"scuro";"Piloto";"Cavalo";"accez";"";""
45;2;"Vermelho";"25:57:00";"KIARI";"DudsTheBoy";"Lonely";"SCARY";"scuro";""
46;2;"Azul";"26:00:00";"YURI";"Cavalo";"julieira";"Kiari";"Piloto";""
47;2;"Vermelho";"30:41:00";"julieira";"SCARY";"Lonely";"DudsTheBoy";"";""
48;2;"Vermelho";"30:41:00";"Kiari";"YURI";"scuro";"DudsTheBoy";"";""
49;2;"Vermelho";"30:57:00";"Piloto";"Lonely";"SCARY";"scuro";"YURI";""
50;2;"Azul";"31:56:00";"YURI";"accez";"Cavalo";"Kiari";"";""
51;2;"Azul";"33:15:00";"DudsTheBoy";"Piloto";"Cavalo";"";"";""
52;2;"Vermelho";"33:19:00";"Piloto";"Cavalo";"";"";"";""
53;2;"Azul";"36:20:00";"SCARY";"julieira";"accez";"Piloto";"Cavalo";""
54;2;"Vermelho";"36:20:00";"julieira";"YURI";"SCARY";"DudsTheBoy";"scuro";""
55;2;"Vermelho";"36:21:00";"KIARI";"Lonely";"SCARY";"scuro";"";""
56;2;"Azul";"36:21:00";"YURI";"Cavalo";"accez";"Piloto";"julieira";""
57;2;"Vermelho";"37:12:00";"accez";"DudsTheBoy";"Lonely";"scuro";"";""
58;2;"Azul";"40:05:00";"DudsTheBoy";"accez";"Piloto";"Cavalo";"Kiari";""
59;2;"Azul";"40:11:00";"YURI";"julieira";"Kiari";"Piloto";"Cavalo";"accez"
60;2;"Azul";"40:13:00";"Lonely";"julieira";"Kiari";"Piloto";"Cavalo";"accez"
61;2;"Azul";"40:17:00";"Lonely";"julieira";"Cavalo";"";"";""
62;2;"Azul";"40:20:00";"SCARY";"julieira";"Kiari";"Piloto";"Cavalo";""
